date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:18	71/71	---M--	200	added ('OK')	text/plain	etag:%228a3724e604ac94f2408277a1af6991ef%22	https://projectdiscovery.io/robots.txt		(from )
11:12:19	498035/498035	---MCZ	200	added ('OK')	text/html	etag:W/%2255b032f77e309627d7dc0f19c08b3bbd%22	https://projectdiscovery.io/	/home/quincy_king/PD_clone/projectdiscovery.io/index.html	(from )
11:12:20	117564/117564	---MCZ	200	added ('OK')	font/ttf	etag:W/%220c1a43ab2ef788df977cbca536248729%22	https://projectdiscovery.io/_next/static/media/290e0b5ac1ad6f5d-s.p.ttf	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/290e0b5ac1ad6f5d-s.p.ttf	(from https://projectdiscovery.io/)
11:12:21	56800/56800	---M--	200	added ('OK')	font/woff2	etag:%220e46e732cced180e3a2c7285100f27d4%22	https://projectdiscovery.io/_next/static/media/e11418ac562b8ac1-s.p.woff2	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/e11418ac562b8ac1-s.p.woff2	(from https://projectdiscovery.io/)
11:12:22	17398/17398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224dcfb5079046f56df949eec243ca7eee%22	https://projectdiscovery.io/_next/static/media/ProjectDiscoveryLogo.a524f50f.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/ProjectDiscoveryLogo.a524f50f.svg	(from https://projectdiscovery.io/)
11:12:23	20724/20724	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229c33f081f4fbd6410c16a71258dbc2d1%22	https://projectdiscovery.io/_next/static/media/AISwirl.06c742bd.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/AISwirl.06c742bd.svg	(from https://projectdiscovery.io/)
11:12:24	12228/12228	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265254fddeb44e42bd06dc23a8f2ae214%22	https://projectdiscovery.io/_next/static/media/DecisionsDonut.2fcc78a5.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/DecisionsDonut.2fcc78a5.svg	(from https://projectdiscovery.io/)
11:12:25	7713/7713	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222cf398da3b47cec16325f74070f5fb69%22	https://projectdiscovery.io/_next/static/media/Blocks.b839d14e.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/Blocks.b839d14e.svg	(from https://projectdiscovery.io/)
11:12:26	52501/52501	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22018aac30ec254536c1c71311c6f0405c%22	https://projectdiscovery.io/_next/static/media/GlobeRight.9a7a9c5d.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/GlobeRight.9a7a9c5d.svg	(from https://projectdiscovery.io/)
11:12:27	52300/52300	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228703e31bf5b566edb8ab423414e0b7c8%22	https://projectdiscovery.io/_next/static/media/GlobeLeft.249a7dbe.svg	/home/quincy_king/PD_clone/projectdiscovery.io/_next/static/media/GlobeLeft.249a7dbe.svg	(from https://projectdiscovery.io/)
